23.429,0.014416,-8.0745e-06,1.4663e+05,1,60,1
23.432,0.042463,0.0030819,1.468e+05,1,60,14
23.434,0.16262,0.0041443,1.4702e+05,1,60,8
23.423,0.015865,0.00104,1.4622e+05,1,60,9
23.429,0.075873,-0.00054853,1.4665e+05,1,60,3
23.43,0.037978,0.0017461,1.4669e+05,1,60,9
23.429,0.016653,-0.0017633,1.4661e+05,1,60,14
23.432,0.05122,-0.0022008,1.4693e+05,1,60,9
23.43,0.030217,-0.0041175,1.4662e+05,1,60,9
23.43,0.049318,0.00031631,1.4672e+05,1,60,3
23.431,0.09208,0.00082578,1.4672e+05,1,60,3
23.428,0.017816,1.29e-05,1.4659e+05,1,60,14
23.428,0.028103,-0.0015785,1.4657e+05,1,60,1
23.432,0.026389,-0.00029249,1.4685e+05,1,60,9
23.436,0.11722,0.00082273,1.4716e+05,1,60,8
23.431,0.10612,-0.0024722,1.4673e+05,1,60,3
23.43,0.030992,0.00026549,1.4667e+05,1,60,1
23.426,0.053922,0.00067722,1.4649e+05,1,60,3
23.429,0.063465,0.0018631,1.4667e+05,1,60,14
